#{"t_start": 1675768423.429673, "env_id": null}
r,l,t
-0.112334,25,5.496189
0.786075,25,5.973662
-0.300202,25,6.027261
-0.318654,25,6.037808
-0.763594,25,6.048688
0.057481,25,10.415828
0.174633,25,10.426359
0.013758,25,10.436765
0.049541,25,10.859688
0.022196,25,10.919521
0.010116,25,15.002772
0.025842,25,15.013422
0.011477,25,15.023884
0.511465,25,15.034235
0.21501,25,15.044605
0.219647,25,19.449843
0.307298,25,19.46295
-0.193277,25,19.474006
0.364439,25,19.484897
0.172283,25,19.496415
0.186304,25,23.86691
-0.738404,25,23.877638
0.367922,25,23.888255
0.03568,25,23.899215
0.213257,25,23.909684
0.384863,25,28.229274
0.670403,25,28.241985
0.621228,25,28.749854
-0.692523,25,28.815669
0.642584,25,28.831988
0.498272,25,33.165656
-0.483751,25,33.176658
0.243005,25,33.187339
-0.063777,25,33.197993
0.137852,25,33.208591
0.736211,25,37.748558
0.764473,25,37.760232
0.64897,25,37.771154
0.598647,25,37.782043
0.539768,25,37.792835
0.4371,25,42.429721
0.522581,25,42.440558
0.611512,25,42.451348
0.711708,25,42.462
0.703545,25,42.472626
0.256148,25,46.441268
0.218244,25,46.452119
0.660606,25,46.462767
0.475983,25,46.473979
0.403919,25,46.484872
0.416489,25,50.584251
0.703508,25,50.594956
0.598673,25,50.605464
-1.082437,25,50.615922
0.55286,25,50.626339
0.38608,25,54.558634
-0.208076,25,54.56949
0.862195,25,54.58009
0.410702,25,54.590641
0.525855,25,54.601158
0.144705,25,58.66411
0.384232,25,58.674896
0.443281,25,58.685488
0.445949,25,58.696644
0.671121,25,59.179526
0.659732,25,63.153217
0.724451,25,63.164051
0.497534,25,63.174582
0.614031,25,63.185078
0.579727,25,63.195615
0.50797,25,67.254985
0.490203,25,67.265738
0.499973,25,67.276436
0.3222,25,67.28712
0.760172,25,67.297706
