#{"t_start": 1675767609.330379, "env_id": null}
r,l,t
0.314424,25,5.410289
0.410175,25,5.896804
0.225055,25,5.963094
0.412466,25,5.975795
0.239848,25,5.986785
0.419153,25,10.220526
0.615254,25,10.232108
0.19553,25,10.243128
0.570444,25,10.676899
0.606366,25,10.743358
0.22852,25,15.109823
0.651709,25,15.121211
0.405456,25,15.132617
0.698196,25,15.143951
0.200917,25,15.155046
0.804292,25,19.330775
0.805435,25,19.341971
0.835086,25,19.352776
0.559286,25,19.363678
0.827785,25,19.374522
0.702951,25,23.732324
0.867992,25,23.743268
0.789492,25,23.75453
0.795586,25,23.765808
0.876541,25,23.776835
0.812871,25,28.082619
0.804925,25,28.094486
0.815803,25,28.639783
0.77087,25,28.703601
0.73901,25,28.714367
0.844433,25,33.215268
0.77342,25,33.226843
0.840206,25,33.237867
0.801186,25,33.249014
0.755165,25,33.260654
0.721881,25,37.644471
0.873598,25,37.657004
0.838232,25,37.667664
0.73755,25,37.678301
0.865031,25,37.688936
0.787561,25,41.865357
0.75174,25,41.877824
0.794788,25,41.88989
0.65887,25,41.900881
0.720177,25,41.912727
0.764172,25,46.234687
0.648994,25,46.246145
0.763355,25,46.25697
0.726075,25,46.26776
0.572096,25,46.278549
0.841947,25,50.635186
0.720006,25,50.646237
0.750694,25,50.656985
0.782259,25,50.668338
0.804503,25,50.679325
0.627993,25,54.855409
0.710136,25,54.866504
0.801877,25,54.877515
0.767946,25,54.888762
0.781257,25,54.899602
0.864768,25,59.260107
0.724612,25,59.271565
0.819593,25,59.282684
0.762854,25,59.29361
0.724129,25,59.730394
0.872948,25,63.961867
0.774724,25,63.972922
0.827187,25,63.98407
0.841082,25,63.994947
0.648499,25,64.006182
0.874882,25,68.361726
0.861514,25,68.372703
0.842149,25,68.383826
0.832815,25,68.394932
0.81585,25,68.405701
