#{"t_start": 1675768749.530817, "env_id": null}
r,l,t
-218325.763483,25,45.93213
-176058.011802,25,46.44127
-67486.370287,25,46.740784
-250626.725216,25,47.00227
-218767.794849,25,47.255051
-132372.01239,25,87.777542
-135230.286583,25,88.045752
-88001.625361,25,88.310677
-96386.487593,25,88.867438
-152742.656108,25,89.187774
-91547.761314,25,129.648755
-66745.513243,25,129.912872
-26810.337786,25,130.174054
-105999.907591,25,130.436258
-41263.553576,25,130.690975
-28382.380647,25,171.372816
-66057.807834,25,171.633954
-42610.712113,25,171.891447
-13971.757618,25,172.154187
-46985.084453,25,172.413943
-40759.860666,25,212.513247
-8761.190748,25,212.778363
-27909.667634,25,213.036593
-19981.590814,25,213.294572
-12816.81656,25,213.551246
-41801.693175,25,253.415676
-1884.795604,25,253.680529
-0.06011,25,254.217304
-40462.704234,25,254.523785
-71548.797976,25,254.783577
-17430.820521,25,295.797815
-7477.104798,25,296.055663
-26056.312319,25,296.313241
-0.303936,25,296.566597
-33793.855657,25,296.827111
-52227.228021,25,336.798294
-121496.381525,25,337.058907
-1721.548601,25,337.31732
-50328.823641,25,337.578479
-71472.191505,25,337.836535
-5647.810441,25,377.893192
-23478.498202,25,378.154755
-282.657888,25,378.413598
-34511.163438,25,378.671655
-29152.255659,25,378.930197
-18448.666327,25,418.795219
-36030.486109,25,419.053181
-42594.904607,25,419.311891
-52574.5219,25,419.569993
-16928.801694,25,419.827505
-5602.6642,25,460.00872
-35980.873319,25,460.270618
-15638.610825,25,460.529606
-21.76222,25,460.789021
-24304.173814,25,461.048178
-296.013378,25,500.950715
-21289.193058,25,501.232942
-6826.509779,25,501.494989
-83574.786677,25,501.749378
-9988.992552,25,502.005965
-896.266905,25,542.2944
-4347.922909,25,542.556072
-5.949797,25,542.818967
-38063.149018,25,543.082721
-0.001999,25,543.622503
-88734.382532,25,583.420528
-8802.67095,25,583.682876
-124.576824,25,583.941824
-43616.552021,25,584.201142
-49350.46045,25,584.457566
-36565.391038,25,624.63164
-31536.771014,25,624.923537
-34233.544369,25,625.196683
-56349.238677,25,625.453233
-9609.317067,25,625.708851
