#{"t_start": 1675767816.736827, "env_id": null}
r,l,t
-10.860319,25,5.224455
-11.018432,25,5.710299
-11.867972,25,5.77968
-11.728123,25,5.791659
-11.334251,25,5.802692
-7.290631,25,9.990637
-6.91066,25,10.001719
-6.481391,25,10.012448
-6.471927,25,10.434127
-9.485747,25,10.501915
-3.48842,25,14.891945
-3.280498,25,14.902742
-3.276898,25,14.91336
-8.090428,25,14.92409
-4.738511,25,14.935015
-4.442276,25,19.163999
-4.225526,25,19.175182
-3.279005,25,19.186705
-2.747689,25,19.197507
-3.406247,25,19.208414
-3.432645,25,23.550055
-4.899418,25,23.560901
-4.087526,25,23.571672
-4.584668,25,23.582833
-4.593281,25,23.593646
-3.215411,25,27.761077
-3.304438,25,27.771894
-3.961073,25,28.206041
-3.496606,25,28.273974
-3.643836,25,28.285083
-4.182878,25,32.634599
-3.423432,25,32.645306
-4.391608,25,32.65576
-3.380239,25,32.666652
-3.343832,25,32.678232
-5.300881,25,36.836443
-3.096388,25,36.847184
-4.829313,25,36.857902
-2.833692,25,36.868618
-3.677205,25,36.87968
-4.203607,25,41.26764
-3.690008,25,41.278658
-6.407241,25,41.289527
-2.603703,25,41.300362
-4.68075,25,41.311213
-3.737453,25,45.465676
-2.893949,25,45.476447
-5.185065,25,45.48712
-4.831924,25,45.497763
-3.546001,25,45.508446
-3.646493,25,49.849735
-4.735214,25,49.860751
-3.015134,25,49.871481
-5.291363,25,49.882115
-3.638286,25,49.892729
-5.182758,25,54.116641
-3.443004,25,54.127895
-3.618172,25,54.138765
-4.102191,25,54.149785
-4.744318,25,54.160507
-3.302559,25,58.553401
-3.167372,25,58.564102
-6.340588,25,58.575365
-4.911924,25,58.586095
-3.854608,25,59.020331
-3.036381,25,63.256094
-3.630812,25,63.267838
-5.830068,25,63.278491
-5.199654,25,63.289061
-4.201504,25,63.300138
-4.360087,25,67.64165
-8.259305,25,67.65298
-2.950717,25,67.663714
-3.235609,25,67.674453
-4.30653,25,67.686228
